begin	type	idobject	code	user
09:54:46  -  23/02/17	p	1	3401000000001	1
09:54:46  -  23/02/17	e	1	3402000000001	1
09:54:46  -  23/02/17	u	1	3403000000001	1
09:54:46  -  23/02/17	u	2	3403000000002	1
09:54:46  -  23/02/17	u	3	3403000000003	1
09:54:46  -  23/02/17	u	4	3403000000004	1
09:54:46  -  23/02/17	u	5	3403000000005	1
09:54:46  -  23/02/17	u	6	3403000000006	1
11:49:13  -  28/02/17	p	1	3401000000042	1
11:49:53  -  28/02/17	e	1	3402000000017	1
12:51:13  -  28/02/17	p	1	3401000000042	1
12:55:50  -  28/02/17	p	1	3401000000042	1
09:04:22  -  01/03/17	e	2	3403000000012	1
09:32:10  -  01/03/17	g	3	3403000000019	1
09:32:40  -  01/03/17	g	4	3403000000015	1
09:35:32  -  01/03/17	g	5	3403000000020	1
09:37:26  -  01/03/17	g	6	340100000004	1
09:37:49  -  01/03/17	g	6	3401000000043	1
10:06:07  -  01/03/17	g	7	3404000000001	1
16:38:12  -  02/03/17	p	1	3401000000042	1
16:39:59  -  02/03/17	p	1	3401000000042	1
16:41:37  -  02/03/17	p	1	3401000000042	1
16:44:34  -  02/03/17	p	1	3401000000042	1
16:52:05  -  02/03/17	p	1	3401000000042	1
12:48:12  -  03/03/17	e	2	3403000000012	1
13:30:57  -  03/03/17	e	1	3402000000017	1
13:31:06  -  03/03/17	p	1	3401000000042	1
13:31:51  -  03/03/17	p	1	3401000000042	1
